name,owner,resource_name,settlement_point,nameplate_mw,energy_capacity_mwh,load_zone,company,duration_hr,duration_class
Myrtle U2,PEER,MYR_BES2,MYR_ALL,74.3,119.56,houston,TotalEnergies,1.61,2hr
Noble 1,PEER,NOBLESLR_BESS1,NOBLESLR_ALL,62.5,62.5,north,National Grid Renewables,1.0,1hr
Noble 2,PEER,NOBLESLR_BESS2,NOBLESLR_ALL,62.5,62.5,north,National Grid Renewables,1.0,1hr
North Alamo,PEER,N_ALAMO_BESS,N_AL_BESS_RN,10.0,10.0,south,SMT Energy,1.0,1hr
North Columbia,PEER,NCO_ESS1,NCO_RN,50.0,98.0,houston,Key Capture Energy,1.96,2hr
North Fork,PEER,NF_BRP_BES1,NF_BRP_RN,100.0,110.0,south,ENGIE,1.1,1hr
North Mercedes (DGR),PEER,N_MERCED_BESS,N_MRD_ESR_RN,10.0,10.0,south,SMT Energy,1.0,1hr
Notrees,PEER,NWF_NBS,NWF_NWF1,36.0,12.6,west,Duke Energy,0.35,1hr
OCI Alamo,PEER,OCI_ALM1_ASTRO1,RN_OCI_ALAMO,1.0,0.25,south,Oci Solar Power,0.25,1hr
Odessa SW (DGR),PEER,ODESW_UNIT1,ODESW_RN,9.9,9.9,west,ENGIE,1.0,1hr
Padua 1,PEER,PAD1_ESS_BESS1,PAD1_ESS_RN,51.4,122.0,south,Eolian,2.37,2hr
Palacios,PEER,PALACIOS_BESS1,PALACIOS_RN,9.9,9.9,south,REX Storage Holdings,1.0,1hr
Paleo,PEER,PALE_ESS_BES1,PALE_ESS_EN,200.8,212.5,west,ENGIE,1.06,1hr
Pavo 1,PEER,PAVO_ESS_BESS1,PAVO_ESS_ALL,86.5,87.5,west,ENGIE,1.01,1hr
Pavo 2,PEER,PAVO_ESS_BESS2,PAVO_ESS_ALL,86.5,87.5,west,ENGIE,1.01,1hr
Photon 1,PEER,PHO_BES1,PHO_ALL,150.0,234.0,south,Enel North America,1.56,2hr
Photon 2 (SLF),PEER,PHO_BES2,PHO_ALL,150.0,230.0,south,Enel North America,1.53,2hr
Pirate,PEER,PIRATE1_BESS1,PIRATE_RN,9.9,14.3,south,REX Storage Holdings,1.44,1hr
Port Lavaca (DGR),PEER,PRTLAVS_BESS1,PTLBES_BESS1,9.9,11.9,south,Key Capture Energy,1.2,1hr
Prairie Creek,PEER,PRCRK_BESS1,PRCRK_RN,9.9,15.0,north,SMT Energy,1.52,2hr
Prospect (DGR),PEER,WCOLLOCL_BSS_U1,BSS_U1,9.9,9.9,houston,GlidePath,1.0,1hr
Pueblo 1 (DGR),PEER,PUEBLO_UNIT1,BRP_PBL1_RN,9.9,10.0,south,ENGIE,1.01,1hr
Pueblo 2 (DGR),PEER,PUEBLO_UNIT2,BRP_PBL2_RN,9.9,10.0,south,ENGIE,1.01,1hr
Pyron,PEER,PYR_ESS,PYR_PYRON1,9.9,9.9,west,RWE,1.0,1hr
Pyron 2A,PEER,PYR_ESS2A,PYR_PYRON1,15.0,15.0,west,RWE,1.0,1hr
Pyron 2B,PEER,PYR_ESS2B,PYR_PYRON1,15.0,15.0,west,RWE,1.0,1hr
Queen,PEER,QUEEN_BA_BESS1,QUEEN_BA_RN,50.0,75.0,west,Enel North America,1.5,2hr
Rabbit Hill,PEER,GEORSO_ESS_1,RHESS2_ESS1,9.9,9.9,south,Ormat,1.0,1hr
Ranchtown (DGR),PEER,K0_UNIT1,BRP_RN_UNIT1,10.0,9.9,south,ENGIE,0.99,1hr
Republic Road,PEER,RPUBRDS_ESS1,RPUBRDS_RN,50.0,99.0,north,Key Capture Energy,1.98,2hr
Rio Grande City (DGR),PEER,RIO_GRAN_BESS,RIOG_ESR_RN,10.0,10.0,south,SMT Energy,1.0,1hr
Rio Grande City 2,PEER,RIO_GRAN_BESS2,RIOG_ESR2_RN,9.9,22.4,south,Prologis,2.26,2hr
River Bend,PEER,RBN_BESS1,RBN_BESS1,101.6,150.0,houston,Cypress Creek Renewables,1.48,1hr
River Valley 1,PEER,RVRVLYS_ESS1,RVRVLYS_ALL,50.0,99.0,south,Key Capture Energy,1.98,2hr
River Valley 2,PEER,RVRVLYS_ESS2,RVRVLYS_ALL,50.0,100.0,south,Key Capture Energy,2.0,2hr
Rodeo Ranch U1,PEER,RRANCHES_UNIT1,RRANCHES_ALL,150.0,300.0,west,Plus Power,2.0,2hr
Rodeo Ranch U2,PEER,RRANCHES_UNIT2,RRANCHES_ALL,150.0,300.0,west,Plus Power,2.0,2hr
Roseland,PEER,ROSELAND_BESS1,ROSELAND_ALL,50.0,75.0,north,Enel North America,1.5,2hr
SP TX-12B,PEER,SPTX12B_BES1,SPTX12B_RN,25.1,25.1,west,Ormat,1.0,1hr
Santa Rosa (DGR),PEER,S_SNROSA_BESS,SROSA_ESR_RN,10.0,10.0,south,SMT Energy,1.0,1hr
Saragosa (DGR),PEER,SGSA_BESS1,SGSA_DGR,9.9,20.0,west,NW Group,2.02,2hr
Shamrock (SLF),PEER,SHAMROCK_BESS1,SHAMROCK_RN,99.3,300.0,west,NextEra Energy Resources,3.02,2hr
Sheep Creek,PEER,SHEEPCRK_BESS1,SHEEPCRK_1,142.0,183.0,west,ENGIE,1.29,1hr
Silicon Hill 1,PEER,SLCNHLS_ESS1,SLCN_ESS_ALL,50.0,99.0,south,Key Capture Energy,1.98,2hr
Silicon Hill 2,PEER,SLCNHLS_ESS2,SLCN_ESS_ALL,50.0,99.0,south,Key Capture Energy,1.98,2hr
Snyder (DGR),PEER,DPCRK_UNIT1,SNY_BESS_RN,10.0,20.0,west,Gore Street Energy Storage Fund,2.0,2hr
St. Gall 2,PEER,SGAL_BES_BESS2,SG_BES_BESS1,102.5,200.0,west,Jupiter Power,1.95,2hr
St. Gall I,PEER,SGAL_BES_BESS1,SG_BES_BESS1,104.5,203.0,west,Jupiter Power,1.94,2hr
Stampede,PEER,STAM_SLR_BESS1,STAM_SLR_ALL,70.0,105.0,north,Enel North America,1.5,2hr
Sun Valley 1,PEER,SUNVASLR_BESS1,SUNVASLR_ALL,54.1,53.3,north,ENGIE,0.99,1hr
Sun Valley 2,PEER,SUNVASLR_BESS2,SUNVASLR_ALL,47.3,46.7,north,ENGIE,0.99,1hr
Sweeny (DGR),PEER,SWEENY_UNIT1,BRP_SWNY_RN,10.0,10.0,houston,ENGIE,1.0,1hr
Sweetwater (DGR),PEER,SWTWR_UNIT1,SWT_BESS_RN,10.0,20.0,west,Gore Street Energy Storage Fund,2.0,2hr
Swoose (DGR),PEER,PYOTE_SWOOSEU1,SWOOSE1_U1,9.9,19.8,west,Jupiter Power,2.0,2hr
Swoose 2,PEER,SWOOSEII_BESS1,SWOOSEII_RN,101.0,204.8,west,Jupiter Power,2.03,2hr
Telview,PEER,TV_BESS,TV_RN,9.9,21.0,houston,Agilitas Energy,2.12,2hr
Tidwell Prairie U1,PEER,TDWLPR_1_BESS1,TDWLPR_1_RN,102.0,200.0,north,Jupiter Power,1.96,2hr
Tidwell Prairie U2,PEER,TDWLPR_1_BESS2,TDWLPR_1_RN,102.0,200.0,north,Jupiter Power,1.96,2hr
Timberwolf,PEER,TBWF_ESS_BES1,TBWF_ES_BES1,150.0,300.0,west,Spearmint Energy,2.0,2hr
Tos (DGR),PEER,TOSBATT_UNIT1,RN_TOSBATT,2.0,2.0,west,NRG Energy,1.0,1hr
Triple Butte (DGR),PEER,BELD_BELU1,TRIPBUT1_RN,7.5,15.0,west,Jupiter Power,2.0,2hr
Walstrom,PEER,WAL_BESS_1,WAL_RN,200.0,400.0,south,Tesla,2.0,2hr
Wharton,PEER,WR_BESS1,WR_RN,9.9,21.3,,Agilitas Energy,2.15,2hr
Wigeon Whistle,PEER,WIG_ESS_BES1,WIG_BESS_RN,122.9,174.0,north,UBS Asset Management,1.42,1hr
Wolf Tank,PEER,WFTANK_ESS1,WFTANK_ESS1,155.0,173.0,south,Aypa Power,1.12,1hr
Worsham (DGR),PEER,WORSHAM_BESS1,WRSBES_BESS1,9.9,17.9,west,Key Capture Energy,1.81,2hr
Zapata 1 (DGR),PEER,ZAPATA_UNIT1,BRP_ZPT1_RN,9.9,10.0,south,ENGIE,1.01,1hr
Zapata 2 (DGR),PEER,ZAPATA_UNIT2,BRP_ZPT2_RN,9.9,10.0,south,ENGIE,1.01,1hr
Zier U1,PEER,ZIER_SLR_BES1,ZIER_SLR_ALL,40.08,78.0,south,Cypress Creek Renewables,1.95,2hr
